epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,3795.28,1.34816,1.18384,1.37481,0.78218,0.65748,0.70234,0.46909,1.4053,0.97622,1.26048,0.006652,0.006652,0.006652
95,3952.57,1.36947,1.18341,1.38211,0.77709,0.66738,0.70827,0.46803,1.42935,0.95853,1.27632,0.006616,0.006616,0.006616
96,4108.07,1.3618,1.17631,1.37084,0.77171,0.6685,0.70987,0.47389,1.41862,0.95452,1.26246,0.00658,0.00658,0.00658
97,4265.51,1.36236,1.17126,1.37366,0.79072,0.65923,0.70989,0.4722,1.42646,0.97059,1.27932,0.006544,0.006544,0.006544
98,4422.17,1.339,1.17654,1.36451,0.77184,0.67213,0.70866,0.47274,1.41367,0.95063,1.26885,0.006508,0.006508,0.006508
99,4576.39,1.35056,1.16186,1.3693,0.78425,0.65367,0.70374,0.47192,1.41016,0.96394,1.26491,0.006472,0.006472,0.006472
100,4732.75,1.33653,1.15468,1.35553,0.76707,0.66028,0.70415,0.47249,1.42627,0.96456,1.27483,0.006436,0.006436,0.006436
101,4887.61,1.35068,1.1526,1.35286,0.76931,0.66221,0.70116,0.46996,1.42138,0.98482,1.27673,0.0064,0.0064,0.0064
102,5044.98,1.36518,1.17235,1.36643,0.77573,0.67358,0.7114,0.47667,1.40122,0.94984,1.26381,0.006364,0.006364,0.006364
103,5201.38,1.37439,1.17087,1.36119,0.78461,0.67102,0.71147,0.47576,1.42033,0.96112,1.26651,0.006328,0.006328,0.006328
104,5360.96,1.34684,1.16106,1.35913,0.78686,0.66168,0.7108,0.47551,1.41176,0.96316,1.26145,0.006292,0.006292,0.006292
105,5520.17,1.3614,1.18367,1.36551,0.77739,0.66319,0.71101,0.47841,1.39993,0.95701,1.26219,0.006256,0.006256,0.006256
106,5677.62,1.34702,1.17207,1.36698,0.79377,0.65762,0.71363,0.47698,1.39614,0.96116,1.25656,0.00622,0.00622,0.00622
107,5833.05,1.35376,1.18782,1.36416,0.78313,0.66522,0.71359,0.47822,1.40089,0.95694,1.25701,0.006184,0.006184,0.006184
108,5989.9,1.34047,1.1595,1.36728,0.78584,0.6713,0.71754,0.47689,1.41332,0.95908,1.26741,0.006148,0.006148,0.006148
109,6146.25,1.3517,1.16422,1.36104,0.79797,0.66281,0.71417,0.47515,1.40908,0.95197,1.25887,0.006112,0.006112,0.006112
110,6300.87,1.36057,1.17341,1.37188,0.77674,0.68056,0.71534,0.47932,1.39557,0.94296,1.25553,0.006076,0.006076,0.006076
111,6456.95,1.37587,1.16799,1.3707,0.79311,0.66372,0.71151,0.47872,1.38607,0.93906,1.2508,0.00604,0.00604,0.00604
112,6614.47,1.3477,1.15587,1.37137,0.79418,0.66652,0.71616,0.47997,1.374,0.93801,1.24517,0.006004,0.006004,0.006004
113,6772.06,1.36829,1.18538,1.36157,0.77422,0.68218,0.72058,0.48257,1.38472,0.93888,1.24056,0.005968,0.005968,0.005968
114,6929.94,1.36131,1.17616,1.36178,0.76677,0.66216,0.71124,0.4782,1.39641,0.95348,1.25045,0.005932,0.005932,0.005932
115,7087.28,1.34646,1.17235,1.36093,0.75793,0.67591,0.7112,0.47994,1.39336,0.95725,1.25335,0.005896,0.005896,0.005896
116,7244.89,1.34873,1.1456,1.35558,0.78429,0.66838,0.71609,0.48157,1.3967,0.94311,1.25301,0.00586,0.00586,0.00586
117,7400.88,1.36406,1.1601,1.36326,0.78346,0.67571,0.72048,0.48424,1.39475,0.94137,1.25062,0.005824,0.005824,0.005824
118,7555.59,1.35747,1.15617,1.36593,0.78918,0.67555,0.72296,0.48591,1.39048,0.93453,1.24927,0.005788,0.005788,0.005788
119,7709.81,1.3415,1.14583,1.36441,0.79556,0.67471,0.72506,0.48685,1.39885,0.94177,1.25873,0.005752,0.005752,0.005752
120,7864.12,1.36429,1.15334,1.35667,0.7882,0.67126,0.71897,0.48626,1.39969,0.95084,1.2641,0.005716,0.005716,0.005716
121,8017.09,1.34596,1.12571,1.35819,0.79041,0.67971,0.72233,0.48448,1.3973,0.94097,1.25876,0.00568,0.00568,0.00568
122,8171.23,1.34381,1.16087,1.36769,0.78831,0.67734,0.72596,0.48419,1.40313,0.93655,1.26267,0.005644,0.005644,0.005644
123,8326.09,1.32562,1.12763,1.34823,0.78201,0.67945,0.72145,0.48409,1.38639,0.93441,1.25487,0.005608,0.005608,0.005608
124,8479.45,1.34298,1.1489,1.36161,0.78702,0.67648,0.72221,0.48394,1.39149,0.93164,1.25744,0.005572,0.005572,0.005572
125,8632.75,1.34615,1.12167,1.35369,0.77939,0.6794,0.7222,0.48566,1.3976,0.93225,1.2589,0.005536,0.005536,0.005536
126,8787.17,1.35007,1.12561,1.35297,0.78455,0.67508,0.71917,0.48425,1.38744,0.92615,1.24955,0.0055,0.0055,0.0055
127,8940.24,1.349,1.15636,1.36249,0.79444,0.67518,0.72137,0.48566,1.3801,0.91868,1.24411,0.005464,0.005464,0.005464
128,9095.53,1.33891,1.11494,1.33749,0.78258,0.67323,0.71868,0.48487,1.36901,0.91484,1.24298,0.005428,0.005428,0.005428
129,9248.6,1.3404,1.12663,1.34141,0.776,0.67939,0.71674,0.48526,1.36982,0.92021,1.24244,0.005392,0.005392,0.005392
130,9400.86,1.34894,1.11866,1.34168,0.78854,0.67893,0.71927,0.48489,1.37676,0.91877,1.24627,0.005356,0.005356,0.005356
131,9555.35,1.33313,1.1218,1.35033,0.79097,0.67581,0.72052,0.48403,1.37393,0.91255,1.24473,0.00532,0.00532,0.00532
132,9706.85,1.34092,1.11692,1.342,0.8015,0.67355,0.72313,0.48636,1.37384,0.90869,1.24335,0.005284,0.005284,0.005284
133,9859.33,1.33616,1.11862,1.35427,0.79765,0.67568,0.72282,0.48531,1.38035,0.90891,1.24627,0.005248,0.005248,0.005248
134,10011.3,1.32309,1.11073,1.34291,0.79298,0.67273,0.72079,0.48437,1.38235,0.91126,1.24437,0.005212,0.005212,0.005212
135,10171.2,1.35796,1.12845,1.35607,0.78918,0.67597,0.72097,0.48455,1.3862,0.91202,1.24906,0.005176,0.005176,0.005176
136,10326.7,1.32367,1.11099,1.34403,0.7822,0.67498,0.71994,0.48396,1.38044,0.91384,1.24529,0.00514,0.00514,0.00514
137,10481.5,1.32209,1.11575,1.34441,0.78687,0.67772,0.72093,0.48439,1.37394,0.91373,1.24165,0.005104,0.005104,0.005104
138,10633.8,1.29948,1.07251,1.33159,0.79332,0.67181,0.71896,0.48411,1.37044,0.91444,1.24056,0.005068,0.005068,0.005068
139,10788.1,1.3327,1.13236,1.35253,0.77563,0.68621,0.71976,0.48576,1.37381,0.91699,1.24212,0.005032,0.005032,0.005032
